Empleado,Meta,Cumplimiento,Efectividad
Sin agente,30,0,75
Sin agente asignado,30,400,75
ZIM_ALEXISGK_VTP,30,359,75
ZIM_CARLACA_VTP,30,366,75
ZIM_CARLOCZ_VTP,30,357,75
ZIM_CARLOSMA_VTP,30,0,75
ZIM_CARLOSVG_VTP,30,364,75
ZIM_CHERRYMZ_VTP,30,354,75
ZIM_DANIELAAJ_VTP,30,0,75
ZIM_DANIELBP2_VTP,30,373,75
ZIM_FLAVIOTB_VTP,30,354,75
ZIM_HELBERTPJ_VTP,30,363,75
ZIM_INDIRAMM_VTP,30,352,75
ZIM_ISAACLM_VTP  ,30,368,75
ZIM_JESUSSZ_VTP,30,367,75
ZIM_JHENCELYRV_VTP,30,372,75
ZIM_JUANFV_VTP,30,363,75
ZIM_JULIOLD_VTP,30,334,75
ZIM_KARINASE_VTP,30,352,75
ZIM_LAURAVS_VTP,30,360,75
ZIM_MELANYOA_VTP,30,360,75
ZIM_MILAGROSMM_VTP ,30,362,75
ZIM_NERYIU_VTP,30,358,75
ZIM_PERCYMC_VTP,30,368,75
ZIM_SANDRABV_VTP,30,350,75
ZIM_STEVENCM_VTP,30,357,75
ZIM_ZOILASM_VTP,30,357,75
